title,normal_price,discount_price,product_url,image_url,status,error_message
"Limpador Veja Multiuso Lavanda e Álcool 500ml Oferta","676","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=18e1e70b-dad2-436e-8867-fae2940db653","","success",""
"Tira Manchas Karpex Para Tapetes E Cortinas Vanish 500ml","3199","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=7538eb37-aaae-486d-b667-df04e5893e10","","success",""
"Naldecon Pack Dia e Noite com 24 Comprimidos","6299","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=3a7564ea-ebd3-46af-a5e1-2862ed625967","","success",""
"Kit 2 Preservativos Masculinos Lubrificados + 1 Lubrificante Íntimo Gel 50g Jontex Sensação Pele Com Pele","5247","","https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=f5d04e3b-c143-499b-a4e2-a3ddf22347ff","","success",""
"Achocolatado em Pó Sustagen Chocolate Pacote 400g","9499","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=04fff979-05d6-4494-b84d-c751fc7340a0","","success",""
"Fórmula Infantil Nestogeno 6 A 12 Meses 800g","6299","","https://www.ifood.com.br/delivery/campinas-sp/pao-de-acucar---campinas-souza-souzas/356eaf9b-8433-413a-a546-48d319ea69f8?item=7a43f7dc-2a1d-4d3b-b817-db0988b003cc","","success",""
"Limpador Limpeza Pesada com Cloro e Detergente Eucalipto Veja Power Fusion Frasco 500ml","1664","","https://www.ifood.com.br/delivery/brasilia-df/carrefour-hiper---asa-norte-asa-norte/1dcd9511-ab36-416b-b32f-65ca7b793be0?item=0e335a7a-3f78-4a64-ba8b-9c7efad5c548","","success",""
"Fórmula Infantil Aptamil Premium 2 800g 612 Meses","7559","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=455b67dc-1025-4fca-9b5f-9306eebcaa99","","success",""
"Sustagen Adultos+ Chocolate 900g","17699","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=90cb1807-4cf4-484f-b0ca-61d467f3e7a4","","success",""
"Desinfetante Sanitário Harpic Cloro Ativo 200ml","829","","https://www.ifood.com.br/delivery/campinas-sp/pao-de-acucar---campinas-souza-souzas/356eaf9b-8433-413a-a546-48d319ea69f8?item=641a4593-c4e1-4ce5-ab77-605297a1e869","","success",""
"Preservativo Prudence Lubrificado Leve 8 Pague 6","854","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=4c23c30e-2d61-47e4-a68d-54b5c5201952","","success",""
"Tira Manchas Líquido Crystal White Para Roupas Brancas Refil Econômico Vanish 500ml","1431","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=48d948de-0791-4b36-9905-2661681d34b7","","success",""
"Limpador Multiuso Original Gold Veja 500ml","749","","https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/pao-de-acucar---colinas-jardim-das-colinas/ade17d26-7f09-4a6f-966b-c6f29df14d9a?item=5bc03091-889e-40e3-8134-1e059bf36c96","","success",""
"Desinfetante Sanitário Líquido Power Plus Harpic 200ml","799","","https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/pao-de-acucar---colinas-jardim-das-colinas/ade17d26-7f09-4a6f-966b-c6f29df14d9a?item=875db617-a7c6-419d-92c8-8ba7a7db0aa4","","success",""
"Preservativo Camisinha Olla Lubrificado Leve 8 Pague 6un","1859","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=793a37b6-56ec-4ce5-a628-51e668bf0596","","success",""
